Date,Value (USD per troy ounce)
2018-01-01,16.99377069
2018-01-02,17.1964752
2018-01-03,17.11242594
2018-01-04,17.20033842
2018-01-05,17.22098501
2018-01-06,17.21947792
2018-01-07,17.23854387
2018-01-08,17.11380405
2018-01-09,16.94518142
2018-01-10,16.97741685
2018-01-11,16.99809947
2018-01-12,17.24028901
2018-01-13,17.23443948
2018-01-14,17.22904124
2018-01-15,17.3603006
2018-01-16,17.21052835
2018-01-17,17.02402152
2018-01-18,16.96258409
2018-01-19,17.01546002
2018-01-20,17.02320058
2018-01-21,17.07100042
2018-01-22,17.01398663
2018-01-23,17.0544555
2018-01-24,17.53516009
2018-01-25,17.31302276
2018-01-26,17.40266472
2018-01-27,17.40900401
2018-01-28,17.4264406
2018-01-29,17.17266444
2018-01-30,17.1294637
2018-01-31,17.34567114
2018-02-01,17.21206091
2018-02-02,16.60482868
2018-02-03,16.61074935
2018-02-04,16.64428704
2018-02-05,16.75832865
2018-02-06,16.66130933
2018-02-07,16.39579605
2018-02-08,16.43627699
2018-02-09,16.35429249
2018-02-10,16.35493881
2018-02-11,16.37297372
2018-02-12,16.55445798
2018-02-13,16.59383533
2018-02-14,16.89190114
2018-02-15,16.86814699
2018-02-16,16.6573265
2018-02-17,16.65199487
2018-02-18,16.65149854
2018-02-19,16.6558422
2018-02-20,16.46830224
2018-02-21,16.51859728
2018-02-22,16.60993689
2018-02-23,16.53741783
2018-02-24,16.53812683
2018-02-25,16.52472069
2018-02-26,16.6465201
2018-02-27,16.42311013
2018-02-28,16.40962132
2018-03-01,16.46717655
2018-03-02,16.50158083
2018-03-03,16.50737735
2018-03-04,16.52571471
2018-03-05,16.4383473
2018-03-06,16.76716035
2018-03-07,16.49202602
2018-03-08,16.49190133
2018-03-09,16.59629063
2018-03-10,16.59693602
2018-03-11,16.60377434
2018-03-12,16.53779919
2018-03-13,16.5769176
2018-03-14,16.5419069
2018-03-15,16.39035488
2018-03-16,16.32150463
2018-03-17,16.33227824
2018-03-18,16.3136954
2018-03-19,16.32165618
2018-03-20,16.18863219
2018-03-21,16.54176218
2018-03-22,16.42354488
2018-03-23,16.54772277
2018-03-24,16.56161908
2018-03-25,16.6205778
2018-03-26,16.69531076
2018-03-27,16.52458574
2018-03-28,16.29513355
2018-03-29,16.34576439
2018-03-30,16.34892133
2018-03-31,16.36392318
2018-04-01,16.40020435
2018-04-02,16.59951646
2018-04-03,16.40604193
2018-04-04,16.3043391
2018-04-05,16.39769806
2018-04-06,16.36877389
2018-04-07,16.37918065
2018-04-08,16.41278011
2018-04-09,16.47930709
2018-04-10,16.58096603
2018-04-11,16.66941307
2018-04-12,16.46995568
2018-04-13,16.64079826
2018-04-14,16.65222087
2018-04-15,16.63070139
2018-04-16,16.67080873
2018-04-17,16.76185239
2018-04-18,17.18760796
2018-04-19,17.22968532
2018-04-20,17.12113643
2018-04-21,17.12671008
2018-04-22,17.08622023
2018-04-23,16.60593896
2018-04-24,16.7241215
2018-04-25,16.56175461
2018-04-26,16.52486248
2018-04-27,16.5005534
2018-04-28,16.52715817
2018-04-29,16.52601786
2018-04-30,16.31745609
2018-05-01,16.16342764
2018-05-02,16.37745451
2018-05-03,16.43906364
2018-05-04,16.50978181
2018-05-05,16.52220067
2018-05-06,16.5136539
2018-05-07,16.48411873
2018-05-08,16.47992817
2018-05-09,16.48620214
2018-05-10,16.69595219
2018-05-11,16.65110605
2018-05-12,16.66670278
2018-05-13,16.7002955
2018-05-14,16.51628583
2018-05-15,16.34185035
2018-05-16,16.33760889
2018-05-17,16.42821276
2018-05-18,16.43593627
2018-05-19,16.44391601
2018-05-20,16.44921355
2018-05-21,16.50199313
2018-05-22,16.57593397
2018-05-23,16.45679591
2018-05-24,16.64947534
2018-05-25,16.49391566
2018-05-26,16.5008823
2018-05-27,16.49392986
2018-05-28,16.48236615
2018-05-29,16.39983262
2018-05-30,16.51169052
2018-05-31,16.41003025
2018-06-01,16.38738745
2018-06-02,16.40513868
2018-06-03,16.40454931
2018-06-04,16.39499046
2018-06-05,16.48811044
2018-06-06,16.67163921
2018-06-07,16.70923207
2018-06-08,16.76556824
2018-06-09,16.78039158
2018-06-10,16.76499897
2018-06-11,16.90099623
2018-06-12,16.85231592
2018-06-13,17.01846293
2018-06-14,17.16143649
2018-06-15,16.54308359
2018-06-16,16.55816652
